Nome,Categoria,Tempo,Stagioni,Pianificazione,Freezer,Avanzi,Gradimento,Porzioni,Ingredienti,Link
Pasta al pesto,Pasta,Veloce (20-30),Tutto l'anno,nessuna,base,meglio-fatta,ci-piace,3 porzioni,Pasta (trofie o trenette): 240 g | Basilico: 40 g | Pinoli: 20 g | Parmigiano grattugiato: 30 g | Pecorino grattugiato: 20 g | Aglio: 1/2 spicchio | Olio EVO: circa 80 ml | Sale grosso: q.b.,https://www.eataly.net/it_it/magazine/ricette/pasta-al-pesto
Pasta tonno e limone,Pasta,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,buona,ci-piace,3 porzioni,Pasta (linguine o spaghetti): 210 g | Tonno in scatola: circa 160 g | Limone (scorza e succo): 1 | Aglio: 1 spicchio | Olio EVO: q.b. | Prezzemolo: q.b. | Peperoncino: facoltativo | Sale: q.b.,https://www.cucchiaio.it/ricetta/pasta-tonno-limone/
Spaghetti con pomodorini,Pasta,Veloce (20-30),Estate,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,Spaghetti: 240 g | Pomodorini: 500 g | Aglio: 2 spicchi | Basilico: q.b. | Olio EVO: q.b. | Sale: q.b.,https://www.fattoincasadabenedetta.it/ricetta/spaghetti-con-pomodorini/
Pasta a cacio e pepe,Pasta,Veloce (20-30),Tutto l'anno,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,"Pasta (tonnarelli o spaghetti): 240 g | Pecorino romano grattugiato: 150 g | Pepe: q.b., abbondante",https://www.cookist.it/spaghetti-cacio-e-pepe-ricetta/
Ragù,Pasta,Lunga (45-90),Tutto l'anno,nessuna,congelabile,ottima,ci-piace,4 porzioni (base per più pasti),"Carne macinata di manzo: 400 g | Pancetta a cubetti: 150 g | Carota: 1 pezzo | Sedano: 1 pezzo | Cipolla: 1 pezzo | Vino bianco o rosso: 1 bicchiere | Passata di pomodoro: 200 g | Concentrato di pomodoro: 1 cucchiaio | Latte: facoltativo, 1 bicchiere | Brodo di carne o vegetale: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.tavolartegusto.it/ricetta/ragu-alla-bolognese-la-ricetta-originale-come-fare-il-ragu/
Pasta fredda,Pasta,Veloce (20-30),Estate,nessuna,non-adatta,buona,ci-piace,3 porzioni,"Pasta corta (fusilli o penne): 240 g | Tonno in scatola: 160 g | Pomodorini: 200 g | Mozzarella o bocconcini: 150 g | Olive: 50 g | Mais: facoltativo, 80 g | Basilico: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.cucchiaio.it/ricetta/pasta-fredda-estiva/
Risotto alla zucca,Riso,Normale (30-45),"Autunno, Inverno",nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,"Riso Carnaroli: 240 g | Zucca: 400 g di polpa | Cipolla: 1/2 | Brodo vegetale: circa 700 ml | Vino bianco: facoltativo, mezzo bicchiere | Burro: 30 g | Parmigiano grattugiato: 50 g | Noce moscata: q.b. | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.cucchiaio.it/ricetta/risotto-alla-zucca/
Risotto agli asparagi,Riso,Normale (30-45),Primavera,nessuna,non-adatta,meglio-fatta,ci-piace,3 porzioni,"Riso Carnaroli: 240 g | Asparagi: 1 mazzo | Cipolla: 1/2 | Brodo vegetale: circa 700 ml | Vino bianco: facoltativo, mezzo bicchiere | Burro: 20 g | Parmigiano grattugiato: 50 g | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.",https://www.fattoincasadabenedetta.it/ricetta/risotto-agli-asparagi/
Minestra,Pasta,Normale (30-45),"Autunno, Inverno",nessuna,meal-prep,buona,ci-piace,4 porzioni,"Cipolla: 1 | Carota: 2 | Sedano: 1 costa | Patate: 2 medie | Cavolfiore: 1/4 | Pomodori pelati: 200 g | Legumi misti già cotti (ceci, fagioli, lenticchie): 200 g | Brodo vegetale o acqua: 1,5 l | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b. | Parmigiano grattugiato: q.b.",
Vellutata di zucca,Verdure,Normale (30-45),"Autunno, Inverno",nessuna,congelabile,ottima,ci-piace,3 porzioni,Zucca: 600 g di polpa | Patate: 150 g | Porro o cipolla: 1 | Brodo vegetale: circa 500 ml | Rosmarino: facoltativo | Olio EVO: q.b. | Sale: q.b. | Pepe: q.b.,https://www.cookist.it/vellutata-di-zucca-la-ricetta/
